gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
010426,000003,19861231,20071230,S&P 500 Comp-Ltd,I0003,TEMPLE-INLAND INC,TIN
009004,000003,19870131,20060131,S&P 500 Comp-Ltd,I0003,REEBOK INTERNATIONAL LTD,RBK
010974,000003,19870430,20090105,S&P 500 Comp-Ltd,I0003,UST INC,UST.1
003310,000003,19870731,,S&P 500 Comp-Ltd,I0003,CA INC,CA
007065,000003,19870831,,S&P 500 Comp-Ltd,I0003,MARSH & MCLENNAN COS,MMC
008626,000003,19870831,20020721,S&P 500 Comp-Ltd,I0003,PLACER DOME INC,PDG
001913,000003,19871231,,S&P 500 Comp-Ltd,I0003,AVERY DENNISON CORP,AVY
008304,000003,19871231,,S&P 500 Comp-Ltd,I0003,PALL CORP,PLL
001246,000003,19880229,20000628,S&P 500 Comp-Ltd,I0003,IKON OFFICE SOLUTIONS,IKN
003282,000003,19880229,20020505,S&P 500 Comp-Ltd,I0003,COMPAQ COMPUTER CORP,CPQ.2
005680,000003,19880331,,S&P 500 Comp-Ltd,I0003,HOME DEPOT INC,HD
008245,000003,19880430,,S&P 500 Comp-Ltd,I0003,PNC FINANCIAL SVCS GROUP INC,PNC
001998,000003,19880430,20040630,S&P 500 Comp-Ltd,I0003,BANK ONE CORP,ONE.1
003243,000003,19880531,,S&P 500 Comp-Ltd,I0003,CITIGROUP INC,C
010187,000003,19880531,,S&P 500 Comp-Ltd,I0003,SUNTRUST BANKS INC,STI
005216,000003,19880630,20061001,S&P 500 Comp-Ltd,I0003,GOLDEN WEST FINANCIAL CORP,GDW
011600,000003,19880731,20041219,S&P 500 Comp-Ltd,I0003,WORTHINGTON INDUSTRIES,WOR
007409,000003,19880731,20100714,S&P 500 Comp-Ltd,I0003,MILLIPORE CORP,MIL.
004601,000003,19880831,20080910,S&P 500 Comp-Ltd,I0003,FANNIE MAE,3FNMA
007906,000003,19881130,,S&P 500 Comp-Ltd,I0003,NIKE INC,NKE
004764,000003,19881130,20040331,S&P 500 Comp-Ltd,I0003,FLEETBOSTON FINANCIAL CORP,FBF
004213,000003,19890131,,S&P 500 Comp-Ltd,I0003,ECOLAB INC,ECL
004739,000003,19890228,20090101,S&P 500 Comp-Ltd,I0003,WACHOVIA CORP,WB.3
012689,000003,19890331,20091220,S&P 500 Comp-Ltd,I0003,KB HOME,KBH
007875,000003,19890430,,S&P 500 Comp-Ltd,I0003,NEWELL RUBBERMAID INC,NWL
010614,000003,19890430,,S&P 500 Comp-Ltd,I0003,TORCHMARK CORP,TMK
003054,000003,19890531,20080330,S&P 500 Comp-Ltd,I0003,CIRCUIT CITY STORES INC,CCTYQ
006288,000003,19890731,20000509,S&P 500 Comp-Ltd,I0003,JOSTENS INC,JOSEA
010787,000003,19890731,20090316,S&P 500 Comp-Ltd,I0003,TYCO INTERNATIONAL LTD,TYC
010984,000003,19890731,20130708,S&P 500 Comp-Ltd,I0003,SPRINT CORP,S
012142,000003,19890831,,S&P 500 Comp-Ltd,I0003,ORACLE CORP,ORCL
001794,000003,19890831,20081113,S&P 500 Comp-Ltd,I0003,ASHLAND INC,ASH
007904,000003,19890831,20111212,S&P 500 Comp-Ltd,I0003,NICOR INC,GAS.2
002783,000003,19890831,20120701,S&P 500 Comp-Ltd,I0003,PROGRESS ENERGY INC,DUK8
001468,000003,19891031,20040502,S&P 500 Comp-Ltd,I0003,AMERICAN GREETINGS  -CL A,AM.1
009372,000003,19891130,,S&P 500 Comp-Ltd,I0003,ST JUDE MEDICAL INC,STJ
001878,000003,19891201,,S&P 500 Comp-Ltd,I0003,AUTODESK INC,ADSK
020423,000003,19900201,20080128,S&P 500 Comp-Ltd,I0003,CAESARS ENTERTAINMENT CORP,CZR
003502,000003,19900501,20060717,S&P 500 Comp-Ltd,I0003,COOPER TIRE & RUBBER CO,CTB
008475,000003,19900801,20000402,S&P 500 Comp-Ltd,I0003,PEP BOYS-MANNY MOE & JACK,PBY
002230,000003,19900801,20070711,S&P 500 Comp-Ltd,I0003,BIOMET INC,5938B
001359,000003,19901211,20010624,S&P 500 Comp-Ltd,I0003,ALZA CORP,AZA.1
007017,000003,19910501,,S&P 500 Comp-Ltd,I0003,MARATHON OIL CORP,MRO
023978,000003,19910501,20140701,S&P 500 Comp-Ltd,I0003,UNITED STATES STEEL CORP,X
