GOOG/PINK_ATCV,ATC Venture Group Inc (ATCV),2/6/02,12/14/12,daily,8/27/13
GOOG/PINK_ARINA,Arista Investors Corp. (ARINA),9/27/02,6/17/13,daily,9/11/13
GOOG/PINK_TBHS,The Bank Holdings (TBHS),3/23/04,6/30/14,daily,9/30/14
GOOG/AMEX_NLP,NTS Realty Holdings LP (NLP),12/29/04,6/10/14,daily,9/8/14
GOOG/PINK_AGCI,Angelciti Entertmnt (AGCI),8/27/04,6/28/12,daily,8/27/13
GOOG/NYSE_SCR,Simcere Pharmaceutical Group (ADR) (SCR),4/20/07,12/23/13,daily,3/23/14
GOOG/NASDAQ_STEL,Stellarone Corp (STEL),1/5/00,12/31/13,daily,3/31/14
GOOG/NYSE_SKS,Saks Inc (SKS),6/3/87,11/4/13,daily,2/2/14
GOOG/PINK_FSTW,"Firstwave Technologies, Inc. (FSTW)",1/4/99,11/14/13,daily,2/12/14
GOOG/PINK_PSPF,Power Sports Factory Inc (PSPF),10/5/04,5/14/13,daily,8/27/13
GOOG/PINK_GMEI,Gambit Energy Inc (GMEI),1/20/04,8/14/14,daily,11/12/14
GOOG/NASDAQ_FSIN,"Fushi Copperweld, Inc. (FSIN)",9/29/05,12/26/12,daily,12/10/13
GOOG/PINK_AONEQ,"A123 Systems, Inc. (AONEQ)",3/15/13,7/8/13,daily,10/6/13
GOOG/NYSE_LCC,US Airways Group Inc (LCC),1/2/03,12/6/13,daily,3/6/14
GOOG/PINK_DPRS,DEFAULT PROOF CREDIT CARD (DPRS),3/27/07,7/16/13,daily,10/14/13
GOOG/PINK_PHOT,Growlife Inc (PHOT),3/23/11,4/9/14,daily,7/8/14
GOOG/AMEX_NEWN,New Energy Systems Group. (NEWN),8/16/10,4/16/13,daily,12/10/13
GOOG/PINK_SOSO,Storage Computer Corporation (SOSO),1/3/05,1/2/14,daily,4/2/14
GOOG/PINK_VISRF,Visiphor Corporation (VISRF),1/3/06,5/22/13,daily,8/27/13
GOOG/NASDAQ_FFCO,Fedfirst Financial Corp (FFCO),4/7/05,10/31/14,daily,12/7/14
GOOG/NASDAQ_BCSB,BCSB Bancorp Inc (BCSB),7/8/98,2/13/14,daily,5/13/14
GOOG/PINK_WSCC,Waterside Capital Corp. (WSCC),1/2/03,1/6/14,daily,4/6/14
GOOG/PINK_DPAT,Dental Patient Care America Inc (DPAT),8/25/04,7/25/13,daily,10/22/13
GOOG/NYSE_TMS,TMS International Corp. (TMS),11/3/99,10/16/13,daily,1/14/14
