^GSPC,20040311,1123.89,1125.96,1105.87,1106.78,1889900000,1106.78
^GSPC,20040312,1106.78,1120.63,1106.78,1120.57,1388500000,1120.57
^GSPC,20040315,1120.57,1120.57,1103.36,1104.49,1600600000,1104.49
^GSPC,20040316,1104.49,1113.76,1102.61,1110.70,1500700000,1110.70
^GSPC,20040317,1110.70,1125.76,1110.70,1123.75,1490100000,1123.75
^GSPC,20040318,1123.75,1125.50,1113.25,1122.32,1369200000,1122.32
^GSPC,20040319,1122.32,1122.72,1109.69,1109.78,1457400000,1109.78
^GSPC,20040322,1109.78,1109.78,1089.54,1095.40,1452300000,1095.40
^GSPC,20040323,1095.40,1101.52,1091.57,1093.95,1458200000,1093.95
^GSPC,20040324,1093.95,1098.32,1087.16,1091.33,1527800000,1091.33
^GSPC,20040325,1091.33,1110.38,1091.33,1109.19,1471700000,1109.19
^GSPC,20040326,1109.19,1115.27,1106.13,1108.06,1319100000,1108.06
^GSPC,20040329,1108.06,1124.37,1108.06,1122.47,1405500000,1122.47
^GSPC,20040330,1122.47,1127.60,1119.66,1127.00,1332400000,1127.00
^GSPC,20040331,1127.00,1130.83,1121.46,1126.21,1560700000,1126.21
^GSPC,20040401,1126.21,1135.67,1126.20,1132.17,1560700000,1132.17
^GSPC,20040402,1132.17,1144.81,1132.17,1141.81,1629200000,1141.81
^GSPC,20040405,1141.81,1150.57,1141.64,1150.57,1413700000,1150.57
^GSPC,20040406,1150.57,1150.57,1143.30,1148.16,1397700000,1148.16
^GSPC,20040407,1148.16,1148.16,1138.41,1140.53,1458800000,1140.53
^GSPC,20040408,1140.53,1148.97,1134.52,1139.32,1199800000,1139.32
^GSPC,20040412,1139.32,1147.29,1139.32,1145.20,1102400000,1145.20
^GSPC,20040413,1145.20,1147.78,1127.70,1129.44,1423200000,1129.44
